"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","ConferenceName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","EditionName","Review1Name","Review2Name","Review3Name"
"491",491,491,"Per Brinch Hansen",50,"Scottish","Pe7@gmail.com","On Parsing Arithmetic Expressions in a Multiprocessing Environment.",1982,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Lila Kari",1,"Pietro Sala",0,"Ekkart Kindler",1,"IEEE Transactions on Cybernetics 4","Lila Kari reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","Pietro Sala reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","Ekkart Kindler reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment."
"492",492,492,"Karsten Schmidt 0004",71,"French","Ka2@gmail.com","Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.",2000,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Patrick Cousot",1,"J. V. Tucker",1,"Wlodzimierz Drabent",1,"Information Sciences 14","Patrick Cousot reviews  Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.","J. V. Tucker reviews  Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times.","Wlodzimierz Drabent reviews  Single Machine Scheduling with Deadlines and Increasing Rates of Processing Times."
"493",493,493,"Karsten Schmidt 0004",71,"French","Ka2@gmail.com","On Parsing Arithmetic Expressions in a Multiprocessing Environment.",1982,"International Conference on Computer Vision","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Niklaus Wirth",1,"Allen Reiter",0,"K. C. Tan",1,"International Conference on Computer Vision 28","Niklaus Wirth reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","Allen Reiter reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","K. C. Tan reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment."
"494",494,494,"Mogens Nielsen",48,"Canadian","Mo1@gmail.com","On Parsing Arithmetic Expressions in a Multiprocessing Environment.",1982,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Horst von Brand",0,"Marco Roccetti",1,"Michael L. Fredman",1,"Information Sciences 14","Horst von Brand reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","Marco Roccetti reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment.","Michael L. Fredman reviews  On Parsing Arithmetic Expressions in a Multiprocessing Environment."
"495",495,495,"Mogens Nielsen",48,"Canadian","Mo1@gmail.com","A Class of Coders Based on GSM.",1992,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","John K. Lee",0,"Akhil Kumar 0001",0,"Joost Engelfriet",1,"AAAI Conference on Artificial Intelligence 6","John K. Lee reviews  A Class of Coders Based on GSM.","Akhil Kumar 0001 reviews  A Class of Coders Based on GSM.","Joost Engelfriet reviews  A Class of Coders Based on GSM."
"496",496,496,"Mogens Nielsen",48,"Canadian","Mo1@gmail.com","Optimal recovery schemes in fault tolerant distributed computing.",2005,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Sven Skyum",1,"Yuri Breitbart",0,"Barbara G. Ryder",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Sven Skyum reviews  Optimal recovery schemes in fault tolerant distributed computing.","Yuri Breitbart reviews  Optimal recovery schemes in fault tolerant distributed computing.","Barbara G. Ryder reviews  Optimal recovery schemes in fault tolerant distributed computing."
"497",497,497,"Grzegorz Rozenberg",45,"Italian","Gr12@gmail.com","A Class of Coders Based on GSM.",1992,"International Conference on Computer Vision","Australia","789-8-0-100595-4","3.8268/114106971112461",53,166,28,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Robert Endre Tarjan",0,"Eric C. R. Hehner",0,"Vijay K. Vaishnavi",1,"International Conference on Computer Vision 28","Robert Endre Tarjan reviews  A Class of Coders Based on GSM.","Eric C. R. Hehner reviews  A Class of Coders Based on GSM.","Vijay K. Vaishnavi reviews  A Class of Coders Based on GSM."
"498",498,498,"Arto Salomaa",52,"Italian","Ar7@gmail.com","Optimal recovery schemes in fault tolerant distributed computing.",2005,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Kevin C. Kahn",0,"Carol Critchlow",1,"Simant Dube",0,"European Conference on Computer Vision 12","Kevin C. Kahn reviews  Optimal recovery schemes in fault tolerant distributed computing.","Carol Critchlow reviews  Optimal recovery schemes in fault tolerant distributed computing.","Simant Dube reviews  Optimal recovery schemes in fault tolerant distributed computing."
"499",499,499,"Sven Skyum",70,"Belgian","Sv6@gmail.com","A Class of Coders Based on GSM.",1992,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Roberto Gorrieri",1,"X. J. Chen",1,"Christian Lengauer",0,"European Conference on Computer Vision 12","Roberto Gorrieri reviews  A Class of Coders Based on GSM.","X. J. Chen reviews  A Class of Coders Based on GSM.","Christian Lengauer reviews  A Class of Coders Based on GSM."
"500",500,500,"Sven Skyum",70,"Belgian","Sv6@gmail.com","Optimal recovery schemes in fault tolerant distributed computing.",2005,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","M. Italiani",1,"Walter Vogler",0,"Reinhard Wilhelm",1,"IEEE Transactions on Cybernetics 4","M. Italiani reviews  Optimal recovery schemes in fault tolerant distributed computing.","Walter Vogler reviews  Optimal recovery schemes in fault tolerant distributed computing.","Reinhard Wilhelm reviews  Optimal recovery schemes in fault tolerant distributed computing."
"501",501,501,"Sven Skyum",70,"Belgian","Sv6@gmail.com","Richer interface automata with optimistic and pessimistic compatibility.",2015,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Joachim Biskup",0,"Jan Strejcek",1,"Sang-Ki Ko",0,"Annual Meeting of the Association for Computational Linguistics 28","Joachim Biskup reviews  Richer interface automata with optimistic and pessimistic compatibility.","Jan Strejcek reviews  Richer interface automata with optimistic and pessimistic compatibility.","Sang-Ki Ko reviews  Richer interface automata with optimistic and pessimistic compatibility."
"502",502,502,"Symeon Bozapalidis",37,"German","Sy5@gmail.com","Optimal recovery schemes in fault tolerant distributed computing.",2005,"IEEE Transactions on Wireless Communications","Italy","329-6-18-100771-1","0.7893/116108111109163",89,145,25,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Yuri Breitbart",0,"Sascha Fendrich",0,"Y. Daniel Liang",0,"IEEE Transactions on Wireless Communications 25","Yuri Breitbart reviews  Optimal recovery schemes in fault tolerant distributed computing.","Sascha Fendrich reviews  Optimal recovery schemes in fault tolerant distributed computing.","Y. Daniel Liang reviews  Optimal recovery schemes in fault tolerant distributed computing."
"503",503,503,"Symeon Bozapalidis",37,"German","Sy5@gmail.com","An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.",1992,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Carlos R. P. Hartmann",0,"Beverly A. Sanders",1,"Ricardo A. Baeza-Yates",1,"IEEE Transactions on Cybernetics 4","Carlos R. P. Hartmann reviews  An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.","Beverly A. Sanders reviews  An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems.","Ricardo A. Baeza-Yates reviews  An All-Round Sweep Algorithm for 2-Dimensional Nearest-Neighbor Problems."
"504",504,504,"Symeon Bozapalidis",37,"German","Sy5@gmail.com","Two-Level Meta-Controlled Substitution Grammars.",1978,"Annual Meeting of the Association for Computational Linguistics","Sweden","830-4-12-100040-4","5.224/1161081101111772",74,114,28,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Adam L. Buchsbaum",0,"Hermann A. Maurer",0,"Hanna Klaudel",1,"Annual Meeting of the Association for Computational Linguistics 28","Adam L. Buchsbaum reviews  Two-Level Meta-Controlled Substitution Grammars.","Hermann A. Maurer reviews  Two-Level Meta-Controlled Substitution Grammars.","Hanna Klaudel reviews  Two-Level Meta-Controlled Substitution Grammars."
"505",505,505,"Antonios Kalampakas",59,"Finnish","An10@gmail.com","Two-Level Meta-Controlled Substitution Grammars.",1978,"NeuroImage","Netherlands","358-5-8-100034-7","4.5742/1151041131209445",67,95,7,"sequence alignment","gene finding","genome assembly","drug design","Chung-Hao Huang",0,"Hans-Peter Kriegel",0,"Hermann K.-G. Walter",0,"NeuroImage 7","Chung-Hao Huang reviews  Two-Level Meta-Controlled Substitution Grammars.","Hans-Peter Kriegel reviews  Two-Level Meta-Controlled Substitution Grammars.","Hermann K.-G. Walter reviews  Two-Level Meta-Controlled Substitution Grammars."
"506",506,506,"Antonios Kalampakas",59,"Finnish","An10@gmail.com","The query complexity of estimating weighted averages.",2011,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Amir Pnueli",0,"Amr Elmasry",1,"Sang-Ki Ko",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Amir Pnueli reviews  The query complexity of estimating weighted averages.","Amr Elmasry reviews  The query complexity of estimating weighted averages.","Sang-Ki Ko reviews  The query complexity of estimating weighted averages."
"507",507,507,"Wolfgang Reisig",51,"Swedish","Wo15@gmail.com","Two-Level Meta-Controlled Substitution Grammars.",1978,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Carroll Morgan",1,"Rob J. van Glabbeek",0,"K. C. Tan",0,"International Conference on Machine Learning 3","Carroll Morgan reviews  Two-Level Meta-Controlled Substitution Grammars.","Rob J. van Glabbeek reviews  Two-Level Meta-Controlled Substitution Grammars.","K. C. Tan reviews  Two-Level Meta-Controlled Substitution Grammars."
"508",508,508,"Wolfgang Reisig",51,"Swedish","Wo15@gmail.com","The query complexity of estimating weighted averages.",2011,"Transactions on Geoscience and Remote Sensing","Israel","565-5-19-100564-8","3.1030/9911497115898",14,72,23,"sequence alignment","gene finding","genome assembly","drug design","Pietro Sala",1,"Jianwen Su",1,"Nam H. Do",0,"Transactions on Geoscience and Remote Sensing 23","Pietro Sala reviews  The query complexity of estimating weighted averages.","Jianwen Su reviews  The query complexity of estimating weighted averages.","Nam H. Do reviews  The query complexity of estimating weighted averages."
"509",509,509,"Wolfgang Reisig",51,"Swedish","Wo15@gmail.com","Grammars on Partial Graphs.",1976,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Sven Schewe",0,"Hsu-Chun Yen",1,"Wayne A. Babich",1,"IEEE Transactions on Pattern Analysis and Machine Intelligence 17","Sven Schewe reviews  Grammars on Partial Graphs.","Hsu-Chun Yen reviews  Grammars on Partial Graphs.","Wayne A. Babich reviews  Grammars on Partial Graphs."
"510",510,510,"Wolfgang Merzenich",65,"Belgian","Wo8@gmail.com","Two-Level Meta-Controlled Substitution Grammars.",1978,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Ecuador","738-8-4-100052-6","7.2263/1181101111226406",66,160,17,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Davide Sangiorgi",0,"Damien Pous",0,"Ralf Wollowski",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 17","Davide Sangiorgi reviews  Two-Level Meta-Controlled Substitution Grammars.","Damien Pous reviews  Two-Level Meta-Controlled Substitution Grammars.","Ralf Wollowski reviews  Two-Level Meta-Controlled Substitution Grammars."
"511",511,511,"Wolfgang Merzenich",65,"Belgian","Wo8@gmail.com","The query complexity of estimating weighted averages.",2011,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Y. Daniel Liang",1,"Krishnendu Chatterjee",1,"Karl Meinke",1,"European Conference on Computer Vision 12","Y. Daniel Liang reviews  The query complexity of estimating weighted averages.","Krishnendu Chatterjee reviews  The query complexity of estimating weighted averages.","Karl Meinke reviews  The query complexity of estimating weighted averages."
"512",512,512,"Eleni Mandrali",49,"French","El3@gmail.com","Efficient and secure attribute-based signature for monotone predicates.",2017,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Alexandre Brandwajn",1,"Derick Wood",0,"Maciej Koutny",1,"IEEE Transactions on Cybernetics 4","Alexandre Brandwajn reviews  Efficient and secure attribute-based signature for monotone predicates.","Derick Wood reviews  Efficient and secure attribute-based signature for monotone predicates.","Maciej Koutny reviews  Efficient and secure attribute-based signature for monotone predicates."
"513",513,513,"George Rahonis",48,"Canadian","Ge18@gmail.com","Efficient and secure attribute-based signature for monotone predicates.",2017,"Annual Conference on Neural Information Processing Systems","Brazil","437-2-12-100288-0","1.7913/103109114976672",57,159,2,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Marjan Sirjani",1,"John Darlington",0,"Andrea Maggiolo-Schettini",1,"Annual Conference on Neural Information Processing Systems 2","Marjan Sirjani reviews  Efficient and secure attribute-based signature for monotone predicates.","John Darlington reviews  Efficient and secure attribute-based signature for monotone predicates.","Andrea Maggiolo-Schettini reviews  Efficient and secure attribute-based signature for monotone predicates."
"514",514,514,"Dirk Janssens",71,"Italian","Di4@gmail.com","Efficient and secure attribute-based signature for monotone predicates.",2017,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Per Brinch Hansen",1,"Ryszard Janicki",0,"Wolfgang Merzenich",1,"International Conference on Machine Learning 3","Per Brinch Hansen reviews  Efficient and secure attribute-based signature for monotone predicates.","Ryszard Janicki reviews  Efficient and secure attribute-based signature for monotone predicates.","Wolfgang Merzenich reviews  Efficient and secure attribute-based signature for monotone predicates."
"515",515,515,"Dirk Janssens",71,"Italian","Di4@gmail.com","OBSCURE: A Specification Language for Abstract Data Types.",1993,"IEEE Conference on Computer Vision and Pattern Recognition","Israel","208-1-1-100197-6","1.6572/11011997118516",19,59,21,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Maria Rita Di Berardini",1,"Kamilla Klonowska",0,"William R. Franta",1,"IEEE Conference on Computer Vision and Pattern Recognition 21","Maria Rita Di Berardini reviews  OBSCURE: A Specification Language for Abstract Data Types.","Kamilla Klonowska reviews  OBSCURE: A Specification Language for Abstract Data Types.","William R. Franta reviews  OBSCURE: A Specification Language for Abstract Data Types."
"516",516,516,"Grzegorz Rozenberg",56,"French","Gr12@gmail.com","OBSCURE: A Specification Language for Abstract Data Types.",1993,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Wim H. Hesselink",1,"Reinhard Wilhelm",0,"Ugo A. Buy",1,"IEEE Transactions on Information Theory 5","Wim H. Hesselink reviews  OBSCURE: A Specification Language for Abstract Data Types.","Reinhard Wilhelm reviews  OBSCURE: A Specification Language for Abstract Data Types.","Ugo A. Buy reviews  OBSCURE: A Specification Language for Abstract Data Types."
"517",517,517,"Grzegorz Rozenberg",56,"French","Gr12@gmail.com","Performance Bounds on the Splitting Algorithm for Binary Testing.",1974,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Teuvo Laurinolli",1,"Teodor Knapik",1,"Wolfgang Reisig",0,"Conference on Empirical Methods in Natural Language Processing 22","Teuvo Laurinolli reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","Teodor Knapik reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","Wolfgang Reisig reviews  Performance Bounds on the Splitting Algorithm for Binary Testing."
"518",518,518,"Annabelle McIver",36,"Greece","An17@gmail.com","Efficient and secure attribute-based signature for monotone predicates.",2017,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Corina Apachite",1,"Sven Schewe",1,"Marco Roccetti",0,"Conference on Empirical Methods in Natural Language Processing 22","Corina Apachite reviews  Efficient and secure attribute-based signature for monotone predicates.","Sven Schewe reviews  Efficient and secure attribute-based signature for monotone predicates.","Marco Roccetti reviews  Efficient and secure attribute-based signature for monotone predicates."
"519",519,519,"Annabelle McIver",36,"Greece","An17@gmail.com","Frameworks for Abstract Interpretation.",1993,"International Conference on Machine Learning","Brazil","804-2-6-100367-8","1.216/991201081055995",38,189,3,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Ian F. Akyildiz",1,"Flavio Corradini",0,"Lars Jacobsen",0,"International Conference on Machine Learning 3","Ian F. Akyildiz reviews  Frameworks for Abstract Interpretation.","Flavio Corradini reviews  Frameworks for Abstract Interpretation.","Lars Jacobsen reviews  Frameworks for Abstract Interpretation."
"520",520,520,"Annabelle McIver",36,"Greece","An17@gmail.com","OBSCURE: A Specification Language for Abstract Data Types.",1993,"Information Sciences","Canada","309-8-1-100286-2","6.5709/1161181181072332",37,28,14,"sequence alignment","gene finding","genome assembly","drug design","Gianluca Mezzetti",0,"Wolfgang Merzenich",1,"Zvi Galil",1,"Information Sciences 14","Gianluca Mezzetti reviews  OBSCURE: A Specification Language for Abstract Data Types.","Wolfgang Merzenich reviews  OBSCURE: A Specification Language for Abstract Data Types.","Zvi Galil reviews  OBSCURE: A Specification Language for Abstract Data Types."
"521",521,521,"Annabelle McIver",36,"Greece","An17@gmail.com","Performance Bounds on the Splitting Algorithm for Binary Testing.",1974,"IEEE Transactions on Information Theory","Argetina","120-1-11-100766-8","2.6564/113981201095993",9,193,5,"computational complexity","data structures","parallel and distributed computation","probabilistic computation","Christian Stahl",1,"C. Pandu Rangan",0,"William R. Franta",1,"IEEE Transactions on Information Theory 5","Christian Stahl reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","C. Pandu Rangan reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","William R. Franta reviews  Performance Bounds on the Splitting Algorithm for Binary Testing."
"522",522,522,"Carroll Morgan",19,"Norwegian","Ca9@gmail.com","Frameworks for Abstract Interpretation.",1993,"IEEE Transactions on Wireless Communications","Italy","329-6-18-100771-1","0.7893/116108111109163",89,145,25,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Maciej Koutny",0,"Burkhart Wolff",1,"Robert H. Sloan",1,"IEEE Transactions on Wireless Communications 25","Maciej Koutny reviews  Frameworks for Abstract Interpretation.","Burkhart Wolff reviews  Frameworks for Abstract Interpretation.","Robert H. Sloan reviews  Frameworks for Abstract Interpretation."
"523",523,523,"Carroll Morgan",19,"Norwegian","Ca9@gmail.com","OBSCURE: A Specification Language for Abstract Data Types.",1993,"IEEE Transactions on Image Processing","Brazil","741-5-14-100542-7","8.3886/101113120979356",3,172,14,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Andrzej Ehrenfeucht",0,"Lila Kari",1,"Ryszard Janicki",1,"IEEE Transactions on Image Processing 14","Andrzej Ehrenfeucht reviews  OBSCURE: A Specification Language for Abstract Data Types.","Lila Kari reviews  OBSCURE: A Specification Language for Abstract Data Types.","Ryszard Janicki reviews  OBSCURE: A Specification Language for Abstract Data Types."
"524",524,524,"Carroll Morgan",19,"Norwegian","Ca9@gmail.com","Rational Bijection of Rational Sets.",1980,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Juha Honkala",0,"Pradip K. Srimani",0,"Masataka Sassa",1,"IEEE Transactions on Cybernetics 4","Juha Honkala reviews  Rational Bijection of Rational Sets.","Pradip K. Srimani reviews  Rational Bijection of Rational Sets.","Masataka Sassa reviews  Rational Bijection of Rational Sets."
"525",525,525,"Matthew Hennessy",71,"Belgian","Ma19@gmail.com","Performance Bounds on the Splitting Algorithm for Binary Testing.",1974,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Antonella Santone",0,"S. B. Quiring",0,"Klaus H. Hinrichs",0,"IEEE Transactions on Cybernetics 4","Antonella Santone reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","S. B. Quiring reviews  Performance Bounds on the Splitting Algorithm for Binary Testing.","Klaus H. Hinrichs reviews  Performance Bounds on the Splitting Algorithm for Binary Testing."
"526",526,526,"Matthew Hennessy",71,"Belgian","Ma19@gmail.com","Rational Bijection of Rational Sets.",1980,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Ricardo A. Baeza-Yates",0,"M. Italiani",1,"Linqiang Pan",0,"IEEE Transactions on Cybernetics 4","Ricardo A. Baeza-Yates reviews  Rational Bijection of Rational Sets.","M. Italiani reviews  Rational Bijection of Rational Sets.","Linqiang Pan reviews  Rational Bijection of Rational Sets."
"527",527,527,"Matthew Hennessy",71,"Belgian","Ma19@gmail.com","Planning and execution with flexible timelines: a formal account.",2016,"AAAI Conference on Artificial Intelligence","Israel","114-1-2-100068-3","9.4627/1141161181058171",67,108,6,"Machine Learning","Deep learning","NPL","Reinforcement Learning","Mikkel Thorup",0,"Burkhart Wolff",0,"Manasi S. Kulkarni",1,"AAAI Conference on Artificial Intelligence 6","Mikkel Thorup reviews  Planning and execution with flexible timelines: a formal account.","Burkhart Wolff reviews  Planning and execution with flexible timelines: a formal account.","Manasi S. Kulkarni reviews  Planning and execution with flexible timelines: a formal account."
"528",528,528,"Matthew Hennessy",71,"Belgian","Ma19@gmail.com","Some Comments on """"Concurrent Readers and Writers"""".",1977,"IEEE Transactions on Image Processing","Brazil","741-5-14-100542-7","8.3886/101113120979356",3,172,14,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Martin Kutrib",0,"Michael Brand",1,"Karl Meinke",0,"IEEE Transactions on Image Processing 14","Martin Kutrib reviews  Some Comments on """"Concurrent Readers and Writers"""".","Michael Brand reviews  Some Comments on """"Concurrent Readers and Writers"""".","Karl Meinke reviews  Some Comments on """"Concurrent Readers and Writers""""."
"529",529,529,"Benedetto Intrigila",29,"Scottish","Be12@gmail.com","Some Comments on """"Concurrent Readers and Writers"""".",1977,"Conference on Empirical Methods in Natural Language Processing","Luxembourg","357-7-13-100621-7","3.4895/1161171201198977",37,81,22,"type theory","automated theorem proving","language semantics","computer security","Pramod K. Varshney",0,"Ryszard Janicki",0,"Gary T. Leavens",1,"Conference on Empirical Methods in Natural Language Processing 22","Pramod K. Varshney reviews  Some Comments on """"Concurrent Readers and Writers"""".","Ryszard Janicki reviews  Some Comments on """"Concurrent Readers and Writers"""".","Gary T. Leavens reviews  Some Comments on """"Concurrent Readers and Writers""""."
"530",530,530,"Benedetto Intrigila",29,"Scottish","Be12@gmail.com","A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.",1975,"IEEE Transactions on Neural Networks and Learning Systems","Israel","841-0-19-100447-0","0.5555/1081171011067451",78,139,8,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Neelam Soundararajan",0,"Amr Elmasry",0,"Stefano Varricchio",1,"IEEE Transactions on Neural Networks and Learning Systems 8","Neelam Soundararajan reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.","Amr Elmasry reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.","Stefano Varricchio reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions."
"531",531,531,"Stefano Varricchio",62,"Canadian","St2@gmail.com","A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.",1975,"European Conference on Computer Vision","Russia","253-5-13-100302-5","7.7955/1101221211108518",83,88,12,"Computational Video","Image-based Rendering and Animation","3D Modelling of Humans","3D Scene Analysis","Ugo A. Buy",0,"Hermann A. Maurer",0,"Klaus H. Hinrichs",0,"European Conference on Computer Vision 12","Ugo A. Buy reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.","Hermann A. Maurer reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions.","Klaus H. Hinrichs reviews  A Branch-and-Bound Algorithm to Obtain an Optimal Evaluation Tree for Monotonic Boolean Functions."
"532",532,532,"Stefano Varricchio",62,"Canadian","St2@gmail.com","Optimal covers in the relational database model.",2016,"Transactions on Geoscience and Remote Sensing","Israel","565-5-19-100564-8","3.1030/9911497115898",14,72,23,"sequence alignment","gene finding","genome assembly","drug design","Matthias Olk",1,"Giora Slutzki",0,"Linqiang Pan",0,"Transactions on Geoscience and Remote Sensing 23","Matthias Olk reviews  Optimal covers in the relational database model.","Giora Slutzki reviews  Optimal covers in the relational database model.","Linqiang Pan reviews  Optimal covers in the relational database model."
"533",533,533,"Ricardo A. Baeza-Yates",28,"Irish","Ri8@gmail.com","Some Comments on """"Concurrent Readers and Writers"""".",1977,"IEEE Transactions on Cybernetics","Italy","222-4-14-100311-5","5.6164/11611197995254",78,117,4,"Service and cloud computing","pervasive computing and collaboration","Energy lab","Scalable internet services","Jurriaan Rot",1,"Ernst W. Mayr",0,"Jan A. Bergstra",1,"IEEE Transactions on Cybernetics 4","Jurriaan Rot reviews  Some Comments on """"Concurrent Readers and Writers"""".","Ernst W. Mayr reviews  Some Comments on """"Concurrent Readers and Writers"""".","Jan A. Bergstra reviews  Some Comments on """"Concurrent Readers and Writers""""."
