"","X.1","X","AuthorName","Age","Nationality","email","ArticleTitle","YearPublished","JournalName","Location","ISBN","DOI","Volume","Npages","Edition","keyword1","keyword2","keyword3","keyword4","Reviewer1","Decision1","Reviewer2","Decision2","Reviewer3","Decision3","VolumeName","Review1Name","Review2Name","Review3Name"
"576",576,576,"Borivoj Melichar",52,"British","Bo9@gmail.com","On 3-Head Versus 2-Head Finite Automata.",2008,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Consistency","Finding roots of nonlinear equations","Mobile Protection","parallel and distributed computation","Serge Haddad",0,"Chung-Hao Huang",0,"Marvin C. Paull",0,"Machine Learning 85","Serge Haddad reviews  On 3-Head Versus 2-Head Finite Automata.","Chung-Hao Huang reviews  On 3-Head Versus 2-Head Finite Automata.","Marvin C. Paull reviews  On 3-Head Versus 2-Head Finite Automata."
"577",577,577,"Borivoj Melichar",52,"British","Bo9@gmail.com","Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.",2008,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"protein structure prediction","domain-specific languages","Data Breaches","automated theorem proving","Alex Kondratyev",0,"Michel Bidoit",0,"Oded Shmueli",1,"Annual Review of Information Science and Technology 37","Alex Kondratyev reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.","Michel Bidoit reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.","Oded Shmueli reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction."
"578",578,578,"Borivoj Melichar",52,"British","Bo9@gmail.com","Improved matrix pair undecidability results.",2011,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Automotive software","Image-based Rendering and Animation","Electronic warfare engineering","affective computing","Adam L. Buchsbaum",0,"George Rahonis",1,"Wlodzimierz Drabent",0,"ACM Transactions on Database Systems 50","Adam L. Buchsbaum reviews  Improved matrix pair undecidability results.","George Rahonis reviews  Improved matrix pair undecidability results.","Wlodzimierz Drabent reviews  Improved matrix pair undecidability results."
"579",579,579,"Matthew Hennessy",67,"Scottish","Ma11@gmail.com","Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.",2009,"Decision Support Systems","Sweden","427-0-12-100429-6","1.3550/1221211031117984","77","195",17,"Natural Language Processing","Augmented Reality","Data storage and physical design","Telephony","Karsten Schmidt 0004",1,"C. A. Middelburg",0,"Graham Wrightson",1,"Decision Support Systems 77","Karsten Schmidt 0004 reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.","C. A. Middelburg reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction.","Graham Wrightson reviews  Specification and Verification of Object-Oriented Programs Using Supertype Abstraction."
"580",580,580,"Matthew Hennessy",67,"Scottish","Ma11@gmail.com","An efficient simulation algorithm on Kripke structures.",2007,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Privacy","distributed programming","Metadata management","Security","Hans Ulrich Simon",1,"Gunter Bolch",0,"Andrzej Blikle",1,"Algorithmica 86","Hans Ulrich Simon reviews  An efficient simulation algorithm on Kripke structures.","Gunter Bolch reviews  An efficient simulation algorithm on Kripke structures.","Andrzej Blikle reviews  An efficient simulation algorithm on Kripke structures."
"581",581,581,"Xinxin Liu",40,"British","Xi17@gmail.com","An efficient simulation algorithm on Kripke structures.",2014,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"concurrency","Computational Video","language implementation","Privacy","Flavio Corradini",1,"Krishnendu Chatterjee",0,"Emanuela Fachini",0,"Machine Learning 85","Flavio Corradini reviews  An efficient simulation algorithm on Kripke structures.","Krishnendu Chatterjee reviews  An efficient simulation algorithm on Kripke structures.","Emanuela Fachini reviews  An efficient simulation algorithm on Kripke structures."
"582",582,582,"Xinxin Liu",40,"British","Xi17@gmail.com","Improved matrix pair undecidability results.",2013,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"Declarative languages and runtime systems","artificial intelligence","Deep Learning","drug design","Eike Best",1,"Giuseppe Della Penna",1,"Marco Pazzaglia",1,"Artificial Intelligence 25","Eike Best reviews  Improved matrix pair undecidability results.","Giuseppe Della Penna reviews  Improved matrix pair undecidability results.","Marco Pazzaglia reviews  Improved matrix pair undecidability results."
"583",583,583,"Mark H. Overmars",39,"Italian","Ma8@gmail.com","An efficient simulation algorithm on Kripke structures.",2010,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"3D Modelling of Humans","Reinforcement Learning","Service and cloud computing","Electronic warfare engineering","Pramod K. Varshney",0,"Clement H. C. Leung",0,"Vijay K. Vaishnavi",1,"Journal of Cryptology 51","Pramod K. Varshney reviews  An efficient simulation algorithm on Kripke structures.","Clement H. C. Leung reviews  An efficient simulation algorithm on Kripke structures.","Vijay K. Vaishnavi reviews  An efficient simulation algorithm on Kripke structures."
"584",584,584,"Mark H. Overmars",39,"Italian","Ma8@gmail.com","Improved matrix pair undecidability results.",2008,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"computational biology","database systems","Safe Computing","Electronic warfare engineering","Carlo Montangero",1,"B. Bartsch",0,"Nam H. Do",1,"Artificial Intelligence 25","Carlo Montangero reviews  Improved matrix pair undecidability results.","B. Bartsch reviews  Improved matrix pair undecidability results.","Nam H. Do reviews  Improved matrix pair undecidability results."
"585",585,585,"Mark H. Overmars",39,"Italian","Ma8@gmail.com","Automaten in planaren Graphen.",2006,"Artificial Intelligence","Ecuador","884-2-10-100626-4","6.446/1011041061042659","25","157",15,"Data Breaches","program analysis","artificial intelligence","protein structure prediction","Siegfried Bublitz",0,"P. F. Schuler",1,"Philip Heidelberger",1,"Artificial Intelligence 25","Siegfried Bublitz reviews  Automaten in planaren Graphen.","P. F. Schuler reviews  Automaten in planaren Graphen.","Philip Heidelberger reviews  Automaten in planaren Graphen."
"586",586,586,"Michiel H. M. Smid",39,"American","Mi7@gmail.com","Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.",2010,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"protein structure alignment","using data to design user interfaces","Telemetry","Elementary and special functions","Carol Critchlow",1,"Gian Luigi Ferrari",0,"Matthias Wendlandt",0,"IEEE Transactions on Computers 79","Carol Critchlow reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Gian Luigi Ferrari reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Matthias Wendlandt reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited."
"587",587,587,"Mark de Berg",49,"Mexican","Ma6@gmail.com","Automaten in planaren Graphen.",2007,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Elementary and special functions","digital health","Scalable internet services","Numerical quadrature","Filippo Bonchi",1,"Tjalling Gelsema",0,"Paul Pritchard",1,"Algorithmica 86","Filippo Bonchi reviews  Automaten in planaren Graphen.","Tjalling Gelsema reviews  Automaten in planaren Graphen.","Paul Pritchard reviews  Automaten in planaren Graphen."
"588",588,588,"Mark de Berg",49,"Mexican","Ma6@gmail.com","Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.",2005,"IEEE Transactions on Computers","Canada","196-7-0-100135-7","2.5793/1181021031108195","79","40",12,"Augmented Reality","Numerical quadrature","data transformation","language semantics","Yo-Sub Han",1,"Sergei Gorlatch",1,"Anton Nijholt",0,"IEEE Transactions on Computers 79","Yo-Sub Han reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Sergei Gorlatch reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Anton Nijholt reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited."
"589",589,589,"Marc J. van Kreveld",30,"Canadian","Ma7@gmail.com","Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers.",2008,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"gene finding","computational economics","Energy lab","database systems","Karsten Schmidt 0004",1,"Sang-Ki Ko",0,"Symeon Bozapalidis",0,"Journal of Documentation 28","Karsten Schmidt 0004 reviews  Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers.","Sang-Ki Ko reviews  Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers.","Symeon Bozapalidis reviews  Maximum Entropy Two-Station Cyclic Queues with Multiple General Servers."
"590",590,590,"Marc J. van Kreveld",30,"Canadian","Ma7@gmail.com","Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.",2005,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"automated theorem proving","Data cleaning","Safe Computing","Avionics software","Eric Lilin",1,"Philip Heidelberger",1,"Damien Pous",0,"ACM Transactions on Database Systems 50","Eric Lilin reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Philip Heidelberger reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Damien Pous reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited."
"591",591,591,"Marc J. van Kreveld",30,"Canadian","Ma7@gmail.com","Semantic Decomposition of Computer Programs: An Aid to Program Testing.",2013,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"human-centred design in intelligent environments","protein structure prediction","Elementary and special functions","protein structure alignment","Zohar Manna",1,"Angelo Monti",1,"John B. Kam",0,"ACM Transactions on Graphics 13","Zohar Manna reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing.","Angelo Monti reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing.","John B. Kam reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing."
"592",592,592,"Ralph-Johan Back",31,"British","Ra14@gmail.com","Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.",2011,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Natural Language Processing","Image-based Rendering and Animation","Automotive software","machine learning","Huei-Jan Shyr",1,"J. Ian Munro",0,"Andrew J. Malton",0,"Journal of Management Information Systems 82","Huei-Jan Shyr reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","J. Ian Munro reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited.","Andrew J. Malton reviews  Toward Formal Development of Programs from Algebraic Specifications: Implementations Revisited."
"593",593,593,"Ralph-Johan Back",31,"British","Ra14@gmail.com","Semantic Decomposition of Computer Programs: An Aid to Program Testing.",2012,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"Electronic warfare engineering","sequence alignment","Safe Computing","gene finding","J. V. Tucker",1,"Manuel Ojeda-Aciego",0,"Hanna Klaudel",1,"Algorithmica 86","J. V. Tucker reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing.","Manuel Ojeda-Aciego reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing.","Hanna Klaudel reviews  Semantic Decomposition of Computer Programs: An Aid to Program Testing."
"594",594,594,"Ralph-Johan Back",31,"British","Ra14@gmail.com","New proof for the undecidability of the circular PCP.",2009,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"Electronic warfare engineering","Telemetry","concurrency","Electronic warfare engineering","Maria Rita Di Berardini",0,"Ryszard Janicki",1,"Heiko Vogler",1,"Information Research-An International Electronic Journal 69","Maria Rita Di Berardini reviews  New proof for the undecidability of the circular PCP.","Ryszard Janicki reviews  New proof for the undecidability of the circular PCP.","Heiko Vogler reviews  New proof for the undecidability of the circular PCP."
"595",595,595,"Joakim von Wright",18,"Swedish","Jo18@gmail.com","Programmed grammars and their relation to the LBA problem.",2010,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"affective computing","language semantics","Heating Ventilation","computer security","Symeon Bozapalidis",1,"Alan J. Perlis",1,"Michel Bidoit",0,"IEEE Transactions on Fuzzy Systems 2","Symeon Bozapalidis reviews  Programmed grammars and their relation to the LBA problem.","Alan J. Perlis reviews  Programmed grammars and their relation to the LBA problem.","Michel Bidoit reviews  Programmed grammars and their relation to the LBA problem."
"596",596,596,"Joakim von Wright",18,"Swedish","Jo18@gmail.com","A Proof Technique for Communicating Sequential Processes.",2010,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Data storage and physical design","program analysis","coordination and reliability","Deep Learning","Ivan Hal Sudborough",1,"Alan Fekete",0,"Mehdi Jazayeri",1,"ACM Computing Surveys 65","Ivan Hal Sudborough reviews  A Proof Technique for Communicating Sequential Processes.","Alan Fekete reviews  A Proof Technique for Communicating Sequential Processes.","Mehdi Jazayeri reviews  A Proof Technique for Communicating Sequential Processes."
"597",597,597,"Joakim von Wright",18,"Swedish","Jo18@gmail.com","New proof for the undecidability of the circular PCP.",2011,"Quantum Information & Computation","Canada","522-0-13-100675-6","3.9916/115105971031077","3","124",1,"Augmented Reality","protein structure alignment","Medical device software","human-centred design in intelligent environments","Thomas Eiter",1,"Eric Badouel",0,"Luc Devroye",1,"Quantum Information & Computation 3","Thomas Eiter reviews  New proof for the undecidability of the circular PCP.","Eric Badouel reviews  New proof for the undecidability of the circular PCP.","Luc Devroye reviews  New proof for the undecidability of the circular PCP."
"598",598,598,"Alexandre Brandwajn",24,"American","Al10@gmail.com","A Proof Technique for Communicating Sequential Processes.",2008,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Elementary and special functions","Data cleaning","distributed programming","domain-specific languages","Richard Hull 0001",0,"Rodney W. Topor",1,"Borivoj Melichar",1,"ACM Computing Surveys 65","Richard Hull 0001 reviews  A Proof Technique for Communicating Sequential Processes.","Rodney W. Topor reviews  A Proof Technique for Communicating Sequential Processes.","Borivoj Melichar reviews  A Proof Technique for Communicating Sequential Processes."
"599",599,599,"Alexandre Brandwajn",24,"American","Al10@gmail.com","A polynomial time computable metric between point sets.",2011,"Algorithmica","China","288-0-5-100449-8","5.7659/1001001221185599","86","23",24,"drug discovery","computer security","gene finding","Data Breaches","Hsu-Chun Yen",1,"Lars Jacobsen",0,"Marco Pazzaglia",1,"Algorithmica 86","Hsu-Chun Yen reviews  A polynomial time computable metric between point sets.","Lars Jacobsen reviews  A polynomial time computable metric between point sets.","Marco Pazzaglia reviews  A polynomial time computable metric between point sets."
"600",600,600,"Alexandre Brandwajn",24,"American","Al10@gmail.com","Verification of heap manipulating programs with ordered data by extended forest automata.",2009,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"protein structure prediction","digital health","cryptography","Natural Language Processing","Liuba Shrira",0,"Kai Salomaa",1,"Alan Fekete",0,"ACM Transactions on Computer-Human Interaction 50","Liuba Shrira reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Kai Salomaa reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Alan Fekete reviews  Verification of heap manipulating programs with ordered data by extended forest automata."
"601",601,601,"Eric Badouel",56,"Italian","Er3@gmail.com","A Proof Technique for Communicating Sequential Processes.",2006,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"vision and graphics","Telemetry","gene finding","Natural Language Processing","Yuri Breitbart",1,"Peter J. Denning",0,"Peter E. Lauer",0,"Journal of Cryptology 51","Yuri Breitbart reviews  A Proof Technique for Communicating Sequential Processes.","Peter J. Denning reviews  A Proof Technique for Communicating Sequential Processes.","Peter E. Lauer reviews  A Proof Technique for Communicating Sequential Processes."
"602",602,602,"Eric Badouel",56,"Italian","Er3@gmail.com","New proof for the undecidability of the circular PCP.",2010,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"Natural Language Processing","probabilistic computation","protein structure alignment","machine learning","S. Arun-Kumar",1,"Gary T. Leavens",1,"Jurriaan Rot",0,"ACM Transactions on Database Systems 50","S. Arun-Kumar reviews  New proof for the undecidability of the circular PCP.","Gary T. Leavens reviews  New proof for the undecidability of the circular PCP.","Jurriaan Rot reviews  New proof for the undecidability of the circular PCP."
"603",603,603,"Eric Badouel",56,"Italian","Er3@gmail.com","A polynomial time computable metric between point sets.",2007,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Italy","593-5-0-100366-6","8.9215/98981221127173","81","173",6,"Numerical quadrature","automated theorem proving","Finding roots of nonlinear equations","computational economics","Victor Mitrana",1,"S. B. Quiring",1,"Francesca Rossi",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 81","Victor Mitrana reviews  A polynomial time computable metric between point sets.","S. B. Quiring reviews  A polynomial time computable metric between point sets.","Francesca Rossi reviews  A polynomial time computable metric between point sets."
"604",604,604,"Eric Badouel",56,"Italian","Er3@gmail.com","Verification of heap manipulating programs with ordered data by extended forest automata.",2013,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"sequence alignment","Elementary and special functions","Avionics software","computer security","Jan Janousek",1,"Ralph-Johan Back",1,"Marvin C. Paull",1,"ACM Transactions on Database Systems 50","Jan Janousek reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Ralph-Johan Back reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Marvin C. Paull reviews  Verification of heap manipulating programs with ordered data by extended forest automata."
"605",605,605,"Eric Badouel",56,"Italian","Er3@gmail.com","The Family of One-Counter Languages is Closed Under Quotient.",2011,"ACM Transactions on Database Systems","Canada","652-3-0-100702-8","5.8643/991031091186135","50","125",11,"probabilistic computation","Service and cloud computing","Computer Vision","probabilistic computation","Jean Berstel",0,"Wayne A. Babich",0,"Graham Wrightson",0,"ACM Transactions on Database Systems 50","Jean Berstel reviews  The Family of One-Counter Languages is Closed Under Quotient.","Wayne A. Babich reviews  The Family of One-Counter Languages is Closed Under Quotient.","Graham Wrightson reviews  The Family of One-Counter Languages is Closed Under Quotient."
"606",606,606,"Philippe Darondeau",64,"German","Ph16@gmail.com","New proof for the undecidability of the circular PCP.",2010,"ACM Computing Surveys","Argetina","160-4-3-100721-5","2.9729/1151171171184545","65","30",11,"Service and cloud computing","algebra","quantum computation","Service and cloud computing","Jianwen Su",0,"Arto Salomaa",0,"Andrea Maggiolo-Schettini",0,"ACM Computing Surveys 65","Jianwen Su reviews  New proof for the undecidability of the circular PCP.","Arto Salomaa reviews  New proof for the undecidability of the circular PCP.","Andrea Maggiolo-Schettini reviews  New proof for the undecidability of the circular PCP."
"607",607,607,"Philippe Darondeau",64,"German","Ph16@gmail.com","A polynomial time computable metric between point sets.",2006,"ACM Transactions on Algorithms","Australia","464-1-18-100009-6","2.2853/105117991209420","46","58",14,"cryptography","data structures","domain-specific languages","Malware","Niklaus Wirth",1,"Sven Schewe",1,"Susmit Jha",0,"ACM Transactions on Algorithms 46","Niklaus Wirth reviews  A polynomial time computable metric between point sets.","Sven Schewe reviews  A polynomial time computable metric between point sets.","Susmit Jha reviews  A polynomial time computable metric between point sets."
"608",608,608,"Philippe Darondeau",64,"German","Ph16@gmail.com","Verification of heap manipulating programs with ordered data by extended forest automata.",2011,"Journal of Documentation","Argetina","570-7-12-100732-1","1.7381/101113981093336","28","74",28,"quantum computation","Security","Malware","digital health","Jacques Leroudier",1,"Volker Claus",0,"Kim S. Larsen",1,"Journal of Documentation 28","Jacques Leroudier reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Volker Claus reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Kim S. Larsen reviews  Verification of heap manipulating programs with ordered data by extended forest automata."
"609",609,609,"Philippe Darondeau",64,"German","Ph16@gmail.com","Sticky-free and overhang-free DNA languages.",2013,"ACM Transactions on Computer Systems","Israel","768-4-14-100698-1","4.413/1191051041164320","60","66",2,"digital health","artificial intelligence","drug design","Computational Video","Stavros Konstantinidis",1,"Ferucio Laurentiu Tiplea",0,"George Leih",1,"ACM Transactions on Computer Systems 60","Stavros Konstantinidis reviews  Sticky-free and overhang-free DNA languages.","Ferucio Laurentiu Tiplea reviews  Sticky-free and overhang-free DNA languages.","George Leih reviews  Sticky-free and overhang-free DNA languages."
"610",610,610,"Angelo Montanari",44,"Swedish","An7@gmail.com","A polynomial time computable metric between point sets.",2008,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Italy","593-5-0-100366-6","8.9215/98981221127173","81","173",6,"Privacy","Recommender Systems","computer security","Deep Learning","David Pager",0,"J. Ian Munro",1,"Andrzej Ehrenfeucht",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 81","David Pager reviews  A polynomial time computable metric between point sets.","J. Ian Munro reviews  A polynomial time computable metric between point sets.","Andrzej Ehrenfeucht reviews  A polynomial time computable metric between point sets."
"611",611,611,"Angelo Montanari",44,"Swedish","An7@gmail.com","Verification of heap manipulating programs with ordered data by extended forest automata.",2010,"IEEE Transactions on Pattern Analysis and Machine Intelligence","Italy","593-5-0-100366-6","8.9215/98981221127173","81","173",6,"database systems","computational complexity","Energy lab","Numerical quadrature","Yuxi Fu",0,"Rainer Kemp",1,"Raphael A. Finkel",0,"IEEE Transactions on Pattern Analysis and Machine Intelligence 81","Yuxi Fu reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Rainer Kemp reviews  Verification of heap manipulating programs with ordered data by extended forest automata.","Raphael A. Finkel reviews  Verification of heap manipulating programs with ordered data by extended forest automata."
"612",612,612,"Marco Pazzaglia",69,"Norwegian","Ma18@gmail.com","Sticky-free and overhang-free DNA languages.",2013,"Information Research-An International Electronic Journal","Germany","292-1-15-100463-5","9.6614/1111121121084242","69","91",5,"Secure Passwords","coordination and reliability","Electronic warfare engineering","Heating Ventilation","Jurriaan Rot",0,"Peter Lipps",1,"Lila Kari",0,"Information Research-An International Electronic Journal 69","Jurriaan Rot reviews  Sticky-free and overhang-free DNA languages.","Peter Lipps reviews  Sticky-free and overhang-free DNA languages.","Lila Kari reviews  Sticky-free and overhang-free DNA languages."
"613",613,613,"Marco Pazzaglia",69,"Norwegian","Ma18@gmail.com","A Class of Linearly Parsable Graph Grammars.",2010,"ACM Transactions on Computer-Human Interaction","Mexico","214-5-17-100517-2","4.1929/10310398973494","50","162",16,"Recommender Systems","automated theorem proving","Telemetry","Scalable internet services","Ralph-Johan Back",0,"Benedetto Intrigila",0,"Gilles Bernot",0,"ACM Transactions on Computer-Human Interaction 50","Ralph-Johan Back reviews  A Class of Linearly Parsable Graph Grammars.","Benedetto Intrigila reviews  A Class of Linearly Parsable Graph Grammars.","Gilles Bernot reviews  A Class of Linearly Parsable Graph Grammars."
"614",614,614,"Marco Pazzaglia",69,"Norwegian","Ma18@gmail.com","Precise parameter synthesis for stochastic biochemical systems.",2010,"IEEE Transactions on Fuzzy Systems","Ecuador","817-4-9-100423-0","1.5277/97117110113105","2","37",12,"Secure data processing","computational complexity","database systems","computer security","Carlos R. P. Hartmann",0,"George Leih",1,"Don Pigozzi",1,"IEEE Transactions on Fuzzy Systems 2","Carlos R. P. Hartmann reviews  Precise parameter synthesis for stochastic biochemical systems.","George Leih reviews  Precise parameter synthesis for stochastic biochemical systems.","Don Pigozzi reviews  Precise parameter synthesis for stochastic biochemical systems."
"615",615,615,"Pietro Sala",37,"American","Pi13@gmail.com","Sticky-free and overhang-free DNA languages.",2005,"Annual Review of Information Science and Technology","Brazil","716-6-11-100606-8","0.5624/103118110106696","37","89",21,"Data storage and physical design","artificial intelligence","Machine Learning","Privacy","J. H. Hine",1,"Robin Milner",0,"Frank S. de Boer",0,"Annual Review of Information Science and Technology 37","J. H. Hine reviews  Sticky-free and overhang-free DNA languages.","Robin Milner reviews  Sticky-free and overhang-free DNA languages.","Frank S. de Boer reviews  Sticky-free and overhang-free DNA languages."
"616",616,616,"Pietro Sala",37,"American","Pi13@gmail.com","A Class of Linearly Parsable Graph Grammars.",2010,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"networking","distributed programming","pervasive computing and collaboration","Consistency","Philip Heidelberger",1,"John Darlington",0,"Norbert Ramsperger",0,"Machine Learning 85","Philip Heidelberger reviews  A Class of Linearly Parsable Graph Grammars.","John Darlington reviews  A Class of Linearly Parsable Graph Grammars.","Norbert Ramsperger reviews  A Class of Linearly Parsable Graph Grammars."
"617",617,617,"Pietro Sala",37,"American","Pi13@gmail.com","Precise parameter synthesis for stochastic biochemical systems.",2013,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Heating Ventilation","Reinforcement Learning","computational complexity","language implementation","George Humfeld",0,"Zohar Manna",0,"Grzegorz Rozenberg",0,"Machine Learning 85","George Humfeld reviews  Precise parameter synthesis for stochastic biochemical systems.","Zohar Manna reviews  Precise parameter synthesis for stochastic biochemical systems.","Grzegorz Rozenberg reviews  Precise parameter synthesis for stochastic biochemical systems."
"618",618,618,"Pietro Sala",37,"American","Pi13@gmail.com","Efficient systematic clustering method fork-anonymization.",2014,"Journal of Management Information Systems","Argetina","156-0-4-100452-4","1.3481/1181151111026356","82","137",21,"Robotics","Mobile Protection","protein structure prediction","gene finding","Akhil Kumar 0001",0,"Horst von Brand",0,"Victor Mitrana",0,"Journal of Management Information Systems 82","Akhil Kumar 0001 reviews  Efficient systematic clustering method fork-anonymization.","Horst von Brand reviews  Efficient systematic clustering method fork-anonymization.","Victor Mitrana reviews  Efficient systematic clustering method fork-anonymization."
"619",619,619,"Leonidas J. Guibas",39,"British","Le12@gmail.com","Efficient systematic clustering method fork-anonymization.",2009,"Machine Learning","Netherlands","187-6-5-100382-7","5.6142/100104991088801","85","138",12,"Electronic warfare engineering","networking","parallel and distributed computation","type theory","George W. Ernst",0,"P. F. Schuler",0,"Dirk Janssens",0,"Machine Learning 85","George W. Ernst reviews  Efficient systematic clustering method fork-anonymization.","P. F. Schuler reviews  Efficient systematic clustering method fork-anonymization.","Dirk Janssens reviews  Efficient systematic clustering method fork-anonymization."
"620",620,620,"Clement H. C. Leung",42,"British","Cl12@gmail.com","Precise parameter synthesis for stochastic biochemical systems.",2009,"ACM Transactions on Graphics","Italy","457-8-10-100783-0","9.2664/1011171101154587","13","90",24,"Secure data processing","drug discovery","Security","human-centred design in intelligent environments","Ivan Hal Sudborough",0,"Emanuela Fachini",0,"Marvin C. Paull",1,"ACM Transactions on Graphics 13","Ivan Hal Sudborough reviews  Precise parameter synthesis for stochastic biochemical systems.","Emanuela Fachini reviews  Precise parameter synthesis for stochastic biochemical systems.","Marvin C. Paull reviews  Precise parameter synthesis for stochastic biochemical systems."
"621",621,621,"Clement H. C. Leung",42,"British","Cl12@gmail.com","Efficient systematic clustering method fork-anonymization.",2013,"Journal of Cryptology","Australia","819-2-11-100382-5","6.6117/117121115106231","51","104",17,"human-centred design in intelligent environments","computer security","Safe Computing","Finding roots of nonlinear equations","Gunter Bolch",1,"Hans-Peter Kriegel",0,"Dominique Potier",0,"Journal of Cryptology 51","Gunter Bolch reviews  Efficient systematic clustering method fork-anonymization.","Hans-Peter Kriegel reviews  Efficient systematic clustering method fork-anonymization.","Dominique Potier reviews  Efficient systematic clustering method fork-anonymization."
"622",622,622,"Clement H. C. Leung",42,"British","Cl12@gmail.com","Optimization in temporal qualitative constraint networks.",2013,"Neural Computation","Australia","710-0-11-100051-3","7.1395/9711399972279","23","81",4,"vision and graphics","affective computing","Internet of Things","Internet of Things","Yijie Han",1,"Peter E. Lauer",1,"S. Kiran Kumar",0,"Neural Computation 23","Yijie Han reviews  Optimization in temporal qualitative constraint networks.","Peter E. Lauer reviews  Optimization in temporal qualitative constraint networks.","S. Kiran Kumar reviews  Optimization in temporal qualitative constraint networks."
